metric,full_waste,full_discount,change,change_pct,explanation
total_profit_yuan,40757749.959071,58380972.969475,17623223.010404,0.4323894972,七年总利润
total_production_jin,8847577.792845,14957111.062245,6109533.269400001,0.6905317379,七年总产量
total_surplus_jin,191986.23533,7932848.017155,7740861.781825,40.319879019,超过预期销量的总产量
surplus_rate,0.0216992989,0.5303730101,0.5086737112,23.4419422279,超产量占总产量比例
positive_area_rows,760.0,700.0,-60.0,-0.0789473684,非零种植记录数
solver_gap,0.0106396736,0.0092506959,-0.0013889776,-0.130547017,求解器最优性差距
runtime_seconds,600.0795118809,338.2216620445,-261.8578498363,-0.4363719218,求解用时
constraint_violations,0.0,0.0,0.0,,独立审计发现的约束违反数
