plan,test_world,scenario_count,mean_profit_yuan,std_profit_yuan,p05_profit_yuan,var_05_profit_yuan,lower_cvar_090_yuan,worst_1pct_mean_yuan,negative_profit_rate
Q2_lambda_025,q2_independent,2000,40921731.80517,178081.973686,40627539.619337,40627539.619337,40608434.188998,40448458.393008,0.0
Q2_lambda_025,q3_weak_correlation,2000,40871491.505276,197274.166893,40543439.891897,40543439.891897,40519309.464777,40323622.035405,0.0
Q2_lambda_025,q3_medium_correlation,2000,40859266.700947,232188.011891,40466467.851752,40466467.851752,40449257.410898,40242055.117688,0.0
