plan,test_world,scenario_count,mean_profit_yuan,std_profit_yuan,p05_profit_yuan,var_05_profit_yuan,lower_cvar_090_yuan,worst_1pct_mean_yuan,negative_profit_rate
Q2_lambda_025,correlation_plus_elasticity,2000,41061378.108902,223183.420928,40696498.1518,40696498.1518,40661927.766594,40454453.200475,0.0
Q3A_correlation_only,correlation_plus_elasticity,2000,41061378.108902,223183.420928,40696498.1518,40696498.1518,40661927.766594,40454453.200475,0.0
Q3B_correlation_elasticity,correlation_plus_elasticity,2000,41061378.108902,223183.420928,40696498.1518,40696498.1518,40661927.766594,40454453.200475,0.0
Q2_lambda_025,correlation_only,2000,40871491.505276,197274.166893,40543439.891897,40543439.891897,40519309.464777,40323622.035405,0.0
Q3A_correlation_only,correlation_only,2000,40871491.505276,197274.166893,40543439.891897,40543439.891897,40519309.464777,40323622.035405,0.0
Q3B_correlation_elasticity,correlation_only,2000,40871491.505276,197274.166893,40543439.891897,40543439.891897,40519309.464777,40323622.035405,0.0
