metric,full_waste,full_discount,change,change_pct,explanation
total_profit_yuan,40768549.264908,58465088.158657,17696538.893749,0.4340733044,七年总利润
total_production_jin,8845240.624025,14831900.077922,5986659.453896999,0.6768226788,七年总产量
total_surplus_jin,195012.113237,7688195.964119,7493183.850882,38.4241969717,超过预期销量的总产量
surplus_rate,0.0220471236,0.5183554315,0.4963083079,22.511249853,超产量占总产量比例
positive_area_rows,752.0,689.0,-63.0,-0.0837765957,非零种植记录数
solver_gap,0.0103736819,0.0077009341,-0.0026727478,-0.2576469825,求解器最优性差距
runtime_seconds,600.1654491425,531.6144998074,-68.5509493351,-0.1142200862,求解用时
constraint_violations,0.0,0.0,0.0,,独立审计发现的约束违反数
